Spanish,English,Portuguese
el fracaso,the failure,o fracasso
la salud,the health,a saúde
la enfermedad,the illness,a doença
la limpieza,the cleanliness,a limpeza
la suciedad,the dirtiness,a sujeira
la entrada,the entrance,a entrada
la salida,the exit,a saída
el ruido,the noise,o barulho
el silencio,the silence,o silêncio
la venta,the sale,a venda
la compra,the purchase,a compra
el regalo,the gift,o presente
la deuda,the debt,a dívida
la memoria,the memory,a memória
el olvido,the forgetting,o esquecimento
el calor,the heat,o calor
el frío,the cold,o frio
el placer,the pleasure,o prazer
el dolor,the pain,a dor
la risa,the laughter,a risada
el llanto,the crying,o choro
la victoria,the victory,a vitória
la derrota,the defeat,a derrota
el sol,the sun,o sol
la sombra,the shadow,a sombra
la fuerza,the strength,a força
la debilidad,the weakness,a fraqueza
la riqueza,the wealth,a riqueza
la pobreza,the poverty,a pobreza
la luz,the light,a luz
la oscuridad,the darkness,a escuridão
el interior,the inside,o interior
el exterior,the outside,o exterior
la vida,the life,a vida
la muerte,the death,a morte
la infancia,the childhood,a infância
la vejez,the old age,a velhice
el nacimiento,the birth,o nascimento
el fallecimiento,the death,o falecimento
el principio,the beginning,o princípio
el fin,the end,o fim
la paz,the peace,a paz
la guerra,the war,a guerra
la unidad,the unity,a unidade
la división,the division,a divisão
la calma,the calm,a calma
el pánico,the panic,o pânico
la justicia,the justice,a justiça
la injusticia,the injustice,a injustiça
la libertad,the freedom,a liberdade
la esclavitud,the slavery,a escravidão
la esperanza,the hope,a esperança
la desesperación,the despair,o desespero
el conocimiento,the knowledge,o conhecimento
la ignorancia,the ignorance,a ignorância
el bien,the good,o bem
el mal,the evil,o mal
la belleza,the beauty,a beleza
la fealdad,the ugliness,a feiúra
el cielo,the sky,o céu
el infierno,the hell,o inferno
el respeto,the respect,o respeito
la falta de respeto,the disrespect,a falta de respeito
la confianza,the trust,a confiança
la desconfianza,the distrust,a desconfiança
la risa,the laugh,o riso
el llanto,the cry,o choro
el pasado,the past,o passado
el futuro,the future,o futuro
el amor,the love,o amor
el desamor,the lack of love,o desamor
el éxito,the success,o sucesso
el fracaso,the failure,o fracasso
la entrada,the entrance,a entrada
la salida,the exit,a saída
el día,the day,o dia
la noche,the night,a noite
la verdad,the truth,a verdade
la mentira,the lie,a mentira
la luz,the light,a luz
la sombra,the shadow,a sombra
la felicidad,the happiness,a felicidade
la tristeza,the sadness,a tristeza
la paz,the peace,a paz
la guerra,the war,a guerra
la amistad,the friendship,a amizade
la enemistad,the enmity,a inimizade
la salud,the health,a saúde
la enfermedad,the sickness,a doença
la riqueza,the wealth,a riqueza
la pobreza,the poverty,a pobreza
la victoria,the victory,a vitória
la derrota,the defeat,a derrota
la fuerza,the strength,a força
la debilidad,the weakness,a fraqueza
el silencio,the silence,o silêncio
el ruido,the noise,o barulho
el placer,the pleasure,o prazer
el dolor,the pain,a dor
el principio,the beginning,o princípio
el fin,the end,o fim
la vida,the life,a vida
la muerte,a morte,
el cielo,the sky,o céu
el infierno,the hell,o inferno
la bondad,the goodness,a bondade
la maldad,the evilness,a maldade
el conocimiento,the knowledge,o conhecimento
la ignorancia,the ignorance,a ignorância
la libertad,the freedom,a liberdade
la esclavitud,a escravidão,
la justicia,the justice,a justiça
la injusticia,a injustiça,
la unidad,the unity,a unidade
la división,a divisão,
la esperanza,the hope,a esperança
la desesperación,a desesperação,
el miedo,the fear,o medo
el coraje,the courage,a coragem
el pasado,the past,o passado
el futuro,the future,o futuro
el amor,the love,o amor
el odio,the hate,o ódio
la belleza,the beauty,a beleza
la fealdad,the ugliness,a feiura
el bien,the good,o bem
el mal,the evil,o mal
la alegría,the happiness,a alegria
la tristeza,the sadness,a tristeza
el placer,the pleasure,o prazer
el dolor,the pain,a dor
el sol,the sun,o sol
la sombra,the shade,a sombra
la fuerza,the strength,a força
la debilidad,the weakness,a fraqueza
la riqueza,the richness,a riqueza
la pobreza,the poverty,a pobreza
la limpieza,the cleanliness,a limpeza
la suciedad,the dirt,a sujeira
la entrada,the entrance,a entrada
